iter	Passed	Remaining
303	172102	110960
304	172576	110335
305	173049	109710
306	173575	109120
307	174196	108590
308	174721	107999
309	175182	107369
310	175693	106771
311	176157	106145
312	176640	105532
313	177165	104944
314	177653	104335
315	178243	103787
316	178754	103192
317	179278	102606
318	179849	102046
319	180386	101467
320	180853	100849
321	181293	100217
322	181832	99641
323	182424	99094
324	182977	98526
325	183552	97969
326	184092	97394
327	184610	96808
328	185093	96203
329	185682	95654
330	186219	95078
331	186841	94546
332	187389	93975
333	187940	93407
334	188519	92852
335	189004	92252
336	189572	91692
337	190134	91129
338	190662	90550
339	191124	89940
340	191715	89392
341	192391	88882
342	192897	88294
343	193435	87720
344	193977	87149
345	194562	86597
346	195035	85995
347	195625	85445
348	196210	84893
349	196768	84329
350	197273	83743
351	197870	83195
352	198382	82612
353	198953	82054
354	199516	81492
355	200031	80911
356	200621	80360
357	201205	79807
358	201686	79213
359	202238	78648
360	202740	78063
361	203243	77479
362	203790	76912
363	204298	76331
364	204822	75756
365	205297	75163
366	205791	74578
367	206298	73998
368	206786	73412
369	207305	72837
370	207881	72282
371	208420	71714
372	208918	71132
373	209441	70560
374	209989	69996
375	210493	69418
376	211039	68853
377	211618	68300
378	212179	67740
379	212673	67160
380	213184	66585
381	213678	66005
382	214181	65428
383	214743	64870
384	215221	64286
385	215716	63708
386	216154	63114
387	216638	62534
388	217161	61966
389	217704	61403
390	218238	60838
391	218860	60298
392	219414	59738
393	219945	59173
394	220434	58596
395	221007	58042
396	221467	57458
397	221911	56871
398	222456	56310
399	223005	55751
400	223546	55189
401	224153	54644
402	224691	54082
403	225169	53505
404	225667	52934
405	226279	52389
406	226842	51833
407	227557	51312
408	228284	50791
409	228885	50243
410	229392	49673
411	229893	49103
412	230380	48530
413	230899	47964
414	231425	47400
415	231939	46833
416	232455	46268
417	232996	45707
418	233526	45144
419	234043	44579
420	234538	44010
421	235050	43445
422	235539	42875
423	236055	42311
424	236611	41754
425	237157	41196
426	237643	40627
427	238171	40066
428	238648	39496
429	239160	38933
430	239673	38370
431	240300	37825
432	240837	37265
433	241386	36708
434	241940	36151
435	242464	35591
436	242980	35029
437	243446	34460
438	244067	33913
439	244605	33355
440	245130	32795
441	245701	32241
442	246227	31681
443	246780	31125
444	247320	30567
445	247860	30010
446	248380	29450
447	248997	28901
448	249474	28336
449	250040	27782
450	250570	27223
451	251078	26663
452	251713	26115
453	252224	25555
454	252766	24998
455	253407	24451
456	253972	23896
457	254534	23341
458	255155	22791
459	255799	22243
460	256461	21696
461	257123	21148
462	257742	20597
463	258268	20038
464	258763	19476
465	259273	18916
466	259842	18361
467	260409	17805
468	260890	17244
469	261485	16690
470	262034	16133
471	262599	15577
472	263154	15021
473	263708	14465
474	264206	13905
475	264795	13351
476	265312	12792
477	265778	12232
478	266352	11677
479	266830	11117
480	267385	10561
481	267907	10004
482	268398	9446
483	268907	8889
484	269458	8333
485	269985	7777
486	270545	7221
487	271107	6666
488	271644	6110
489	272196	5555
490	272702	4998
491	273245	4443
492	273785	3887
493	274272	3331
494	274819	2775
495	275391	2220
496	275955	1665
497	276438	1110
498	277041	555
499	277538	0
